Serial_Number,SourceLib,HMDB_Number,Compound,name_short,Derivatized_compound_name,Parent_Mass_of_derivatized_compound,RT,RI,MZ,Intensity,Intercept,Slope,,
71,Organic Acid,,Hippuric acid ,,,,26.954,1848.31,41.1 42.1 43.1 44.1 45.1 46.1 47.1 48 49.1 50.1 51.1 52.1 53 54 55.1 56.1 57.1 58.1 59.1 60.1 61.1 62.1 63.1 64.1 65.1 66 67.1 68 69.1 70.1 71.1 72.1 73.1 74.1 75.1 76.1 77.1 78.1 79.1 80.3 80.9 81.4 83 84.1 85.1 86.1 87.1 88.5 90.1 91.1 92.1 93 94.2 96.1 98 99.1 100.1 101.1 102.1 103.1 104.1 105.1 106.1 107.1 108 109.1 109.9 111.1 112 113 114 115.1 116.1 117.1 118.1 119.1 120.1 121.1 122.1 123 124.1 125.1 126.1 127.1 128.1 129.1 130.1 131.1 132.1 133.1 134.1 135.1 136.1 137.1 138.1 139 140 141 142 143.1 144.1 145.1 146.1 147.1 148.1 149.1 150.1 151.1 152.1 153 154 155 156.1 157 158.1 159.1 160.1 161.1 162.1 163.1 164.1 165.1 166.1 167.2 168.1 169.1 170 171.1 172 173 174.1 175.1 176.1 177.1 178.1 179.1 180.1 181.1 182.2 183 184 185.1 186.1 187 188.1 189.2 190.1 191.1 192.1 193.1 194.1 195.1 196.1 197.1 199.2 200 201.1 202.1 203.1 204.2 206.2 207.2 208.2 209.2 210.1 211.1 212.1 213.1 214.2 215.1 216.1 217.1 218.1 219 220 221.1 222.1 223 224.1 226.1 227.2 228.1 229.1 230.2 231.1 232.1 233.1 234.1 236.1 237.1 238.1 239.1 240.2 240.9 243.1 244.1 245.2 246.1 247 248.1 249 250.1 251.2 252.2 253.2 254.1 256.1 257.1 258.1 259.1 260.1 261.1 265 266.1 267.2 268.1 269.1 273.2 274.2 275.2 276.2 277.2 278.2 280.2 281.1 282.1 285.1 286.2 287 289.2 291.2 292.1 295.2 299.2 301.1 302.1 303.2 304.1 305.2 306.2 307.2 308.1 309.2 310.1 319.2 320.2 321.2 322.1 323.2 324.2 325.2 326.2 329.2 331.1 332.2 333.2 334 335.2 340.2 341.2 345 346.2 347.2 348.2 349.2 350.2 351.1 363.2 364.2 365.2 366.2 367.2 369.2 370.2 373.2 375.2 376.2 377.2 378.1 379.1 384.2 385.2 386.2 387.1 421.2 437.3 465.3 466.3 467.2 468.3,1599 4650 28816 23104 105208 7687 41528 2218 2467 30000 137984 10849 4328 905 5971 6975 8819 32456 30160 9376 38128 4049 5547 1544 3331 1252 2469 517 1935 6061 5682 49152 1312768 133568 355904 70656 926592 73368 5110 1002 1601 1867 1478 1345 2906 15940 16576 34072 9430 20856 3228 2306 638 54544 736 1547 9188 11614 31184 29944 107560 3228160 268480 20192 1561 1570 464 974 471 492 595 2510 52344 81912 78488 14446 5377 20872 2933 1767 492 591 361 269 457 3819 23256 11415 21096 30272 96240 72232 10182 6933 1031 684 298 621 362 1938 1184 4356 8085 39832 44600 41368 8199 4409 752 445 369 444 343 900 680 2577 4893 72528 23920 82968 13868 4998 905 239 415 920 319 813 495 712 1675 1749 10499 125736 30528 30200 5866 1488 359 4264 875 1737 561 303 2055 4249 361088 63872 136384 24928 6756 1394 582 324 162 259 819 648 1821 29848 4509184 1136640 284480 38848 3385 7183 1250 1362 274 1307 381 2603 1148 523 983 3533 775 508 187 608 248 161 1476 481 2584 765 2329 3496 771712 137024 40608 4881 551 313 352 437 447 196 168 191 293 1533 23264 5058 1746 345 206 4243 1185 1238 282 273 348 189 2823 950 440 62520 14286 6140 1013 312 202 474 591 222 1814 460 453 158 274 211 162 280 1370 276 1199 395 5065 1405 856 629 201 154 1153 482 223 339 415 858 319 165 198 553 187 1158 381 180 208 203 200 155 14563 4103 2243 441 193 14710 4309 2463 482 167 812 343 267 14378 4143 2425 620 253 4420 1726 604 166 482 235 6867 2861 1484 426 ,-0.04359,3.26025,0.9893,0.9866
69,Organic Acid,,Homovanillic acid,,,,25.876,1785.68,41.1 42.1 43.1 44.1 45.1 46.1 47.1 48 49 50.1 51.1 52.1 53.1 54.1 55.1 56.1 57.1 58.1 59.1 60.1 61.1 62.1 63.1 64.1 65.1 66.1 67.1 68.1 69.1 70.1 71.1 72.2 73.1 74.1 75.1 76.1 77.1 78.1 79.1 80.1 81.1 82.1 83.1 84.1 85.1 86.1 87.1 88.1 89.1 90.1 91.1 92.1 93.1 94.1 95.1 96.1 97.1 98.1 99.1 100.1 101.1 102.1 103.1 104.1 105.1 106.1 107.1 108.1 109 110 111.1 112 113.1 114 115.1 116.1 117.1 118.1 119.1 120.1 121.1 122 123.1 124.1 125.1 126 127.1 128.1 129.1 130 131.1 132.1 133.1 134.1 135.1 136.1 137.1 138.1 139.1 140.6 143 144.1 145.1 146.1 147.1 148.1 149 150.1 151.1 152.1 153.1 154.1 155.6 157 158.2 159.1 160.1 161.1 162.1 163.1 164.1 165.1 166.1 167.1 168 169.1 170.1 171 172.1 173.1 174.1 175.1 176.1 177.1 178.1 179.1 180.1 181.1 182.1 183.1 184.1 185.1 187 187.9 189.1 190.1 191.1 192.1 193.1 194.1 195.1 196.1 197.1 198 201.1 202.3 203.1 204.1 205.2 206.1 207.1 208.2 209.2 210.2 211.2 212.2 213.1 214.2 215 217.1 218.1 219.1 220.1 221.1 222.1 223.1 224.2 225.1 226.1 227.2 228.2 231 232.2 233.1 234.1 235.1 236.1 237.1 238.1 239.1 240.1 241.1 242.1 243.1 247.1 248.1 249.1 250.2 251.2 252.2 253.2 254.2 255.2 256.2 257.1 258.1 259.1 263.1 264.2 265.2 267.2 268.2 269.2 270.2 271.2 272.1 277 278.1 279.2 280.2 281.2 282.2 283.2 284.2 285.2 286.2 292 293.1 294.2 296.2 297.2 298.2 299.2 300.1 301.1 309.2 311.2 312.2 313.2 314.2 315.2 316.1 322 323.4 326.3 327.3 328.2 329.2 330.2 331.2 332.2 385.2 386.1 398.3 399.3 400.2 401.2,687 1076 18296 20912 133440 9361 19792 848 734 1239 6593 1517 2370 499 4692 1413 7580 20632 78120 9086 20680 2136 4694 2055 7644 1771 2131 568 3534 5335 7273 36072 2273280 200640 327552 25256 36312 15042 6265 806 1908 4840 7345 1134 5323 687 2869 4351 60328 18760 32896 5735 4657 1781 6665 1769 4841 1142 6801 910 3500 4465 25448 85472 40920 7779 11934 1970 3920 891 2819 651 890 255 9538 3673 29944 13248 26456 7192 15318 3472 5039 1162 1658 1220 539 714 1977 834 16880 4402 58680 13825 81240 12976 11357 1526 1136 186432 1828 785 8201 4850 95600 229248 243776 37000 22376 3065 3965 642 1212 1256 327 4316 3622 51136 184896 312512 117224 43600 11040 3949 840 508 218 407 194 1282 1827 8988 11020 106416 123792 1245696 206592 63608 6827 1059 207 226 657 326 2423 2680 16632 60784 188608 52976 22808 3705 1506 238 690 267 1581 2008 7507 319424 200448 61440 2895872 517888 151360 16464 1599 173 150 991 751 9705 8496 46168 11730 30016 8632 11166 2331 792 203 503 204 3141 2142 10315 49384 353280 81424 35216 6052 2233 396 205 610 407 4098 10053 34552 269184 86432 31616 27856 5610 2160 362 221 1143 1337 8865 1554432 389504 154048 24976 4295 437 201 158 2451 8298 13687 116888 47288 15666 3714 662 203 1254 2706 825024 219200 86824 15566 2821 312 3769 1972736 512896 206848 35024 6866 683 213 574 3177984 883264 353344 61720 10962 1536 158 756 278 417 1931 932 381 ,0.04014,4.91492,0.9967,0.9959
73,Organic Acid,,HPHPA,,,,27.328,1870.6,40.1 41.1 42 43.1 44.1 45.1 46.1 47.1 48 49 50 51.1 52 53.1 54.1 55 56.1 57.1 58.1 59.1 60 61.1 62 63.1 64 65.1 66.1 67.1 68 69.1 70.1 71.1 72.1 73.1 74.1 75.1 76.1 77.1 78.1 79.1 80.2 81.1 82 83.1 84.1 85.1 86.1 87.1 88.1 89.1 90.1 91.1 92.1 93 94.2 95.1 96.1 97.1 98.1 99 100.1 101.1 102.1 103.1 104.1 105.1 106.1 107.1 108 109.1 110.1 111 112.1 113.1 114.1 115.1 116.1 117.1 118.1 119.1 120.1 121.1 122 123.1 124.1 125.1 126.1 127 128.1 129.1 130.1 131.1 132.1 133.1 134.1 135.1 136.1 137.1 138 139.5 140.8 142.1 143.1 144.1 145.1 147.1 148.1 149.1 150.1 151.1 152.1 153.1 154 155.1 156.1 157 158 159.1 160.1 161.1 162.1 163.1 164.1 165.1 166.1 167.1 168.1 169 170.1 171.1 172.1 173.1 174.1 175.1 176.1 177.1 178.1 179.1 180.1 181.1 182 183.1 183.7 184.7 186 187.1 188.1 189.1 190.1 191.1 192.1 193.1 194.1 195.1 196.1 197 198 199 200.1 201.1 202.1 203.1 204.1 205.1 206.2 207.1 208.1 209.1 210.1 211.1 212.1 213.1 215 216 217.1 218.1 219.1 220.1 221.1 222.1 223.1 224.1 225.1 226.1 227.2 228.1 229.1 230.1 231.1 232.1 233.1 234.1 235.1 236.2 237.1 238.1 239.1 240.1 241.1 243.1 244.1 245.1 246.2 247.1 248.1 249.2 250.2 251.2 252.1 253.1 254.1 255.1 256.1 258.2 260.1 261.1 262 263.2 264.2 265.2 266.2 267.2 268.2 269.2 270.2 271.2 272.2 273.1 273.9 275.3 276 277.2 278.2 279.2 280.2 281.2 282.2 283.2 284.2 285.1 290.1 291.1 292.2 293.2 294.2 295.2 296.2 297.2 298.1 299.1 305.1 306.2 307.1 308.2 309.2 310.2 311.2 312.2 313.1 314.2 323.1 324 325.2 326.2 327.2 328.2 337.2 338.3 339.2 340.3 341.2 342.2 343.2 344.3 345.2 346.1 353.3 354.2 355.3 356.2 357.2 367.1 368.2 369.1 370.2 381.2 382.3 383.2 384.3 385.3 386.3 387.2 388.2 389.3 396.2 397 398.3 399.3 400.3 401.3 402.3 403.3 404.3 405.2 472.3 473.3,383 726 878 11387 14697 84184 5540 10966 455 422 410 1560 718 908 333 1985 2468 4289 5703 22848 2760 8321 781 1605 394 2561 2409 957 379 2090 3851 4807 33496 1507328 134400 179648 13104 19200 2198 1791 446 1280 576 2707 692 3077 846 3010 4529 7162 2725 34584 3214 2078 465 7191 1217 1903 561 1944 5130 11953 12512 17008 5322 17512 2142 2669 439 3359 664 1539 536 1579 636 23608 10200 69696 17120 20176 3904 8610 1697 4076 850 1716 1338 930 2140 4354 3110 55312 11458 104032 15423 41128 5380 7755 965 2661 652 1260 2881 2926 10765 1289728 212096 152064 19232 101328 14134 5449 822 767 555 1530 1077 6845 2529 52624 13825 35624 7994 16073 20104 4560 1372 606 282 1122 552 3066 4809 25720 16672 177088 32288 138880 21720 19032 3035 1814 1902 25520 6616 2053 2511 9943 29824 234816 122304 129280 72880 21840 5170 1411 295 173 291 436 1447 2344 39344 58168 77832 36656 9763 27608 5796 3282 662 288 529 621 4677 14587 9372 21288 20792 7664 29640 5899 6797 1259 635 164 252 243 1970 1031 8595 4356 22336 11006 128344 28104 13344 2318 679 155 176 351 443 5008 1702 27544 12307 157696 40688 22696 4573 1328 287 177 862 481 597 7238 5700 418880 122920 4196352 1131520 452224 75184 12880 1577 185 216 232 603 1420 5490 315904 1310720 362496 135936 23856 3873 509 935 455 2448 1727 33288 9036 8321 1784 745 205 163 360 476 6198 10442 6716 11441 2856 1172 189 277 222 2292 1650 804 193 151 331 18680 6980 213504 68664 32440 6511 1779 216 1872 1186 1652 552 212 158 2278 847 369 416 13667 6631 121344 39552 19096 4172 1008 176 418 319 11428 865600 301184 143552 33080 8233 1355 271 236 227 ,0.00379,5.17739,0.9964,0.9955
104,Saliva,NA,Hydrocinnamic acid,NA,Hydrocinnamic acid,NA,,1492,43.2 45.2 47.2 51.2 61.1 65.2 73.1 74.2 75.1 76.1 77.1 78.1 79.1 80.1 85.1 86 87.1 88.1 89.1 91.1 92.15 93.05 100.15 101.05 102.15 103.15 104.15 105.15 106.15 115.15 116.05 117.05 129.05 130.15 131.15 132.05 133.05 135.05 136.15 137.05 145.1 146.1 147.1 149.1 161.2 162.1 163.1 164.1 179.1 189.1 190.15 191.15 205.15 207.15 208.15 209.15 210.05 222.15 223.15 224.05,21600 64456 33960 30024 24472 36688 202880 29392 396288 32536 67544 30720 17120 1040 785 516 1205 3596 9140 129240 10091 777 647 6423 6324 33504 399296 50560 3057 4099 8953 1756 3885 935 11977 11998 2348 3318 536 634 1543 514 1983 643 843 822 2907 574 545 8128 1355 957 4443 90128 15383 4438 511 35768 6273 2114 ,,,,
76,Organic Acid,,Hydroxyphenyllactic acid,,,,28.155,1920.06,41.1 42.1 43.1 44.1 45.1 46.1 47.1 48 49.1 50 51 52.1 53 54 55.1 56.1 57.1 58.1 59.1 60.1 61 62.1 63 64.1 65.1 66.1 67 68.1 69.1 70.1 71.1 72.2 73.1 74.1 75.1 76.1 77.1 78.1 79.1 80.1 81 82.1 83.1 84 85.1 86 87.1 88.1 89.1 90.1 91.1 92.1 93 94.1 95.1 96.1 97.1 98.1 99 100 101.1 102.1 103.1 104.1 105.1 106.1 107.1 108.1 109 110 111.1 112.1 113 114.1 115.1 116.1 117.1 118.1 119.1 120.1 121.1 122.1 123.1 124.1 125.1 125.9 127.1 128.1 129.1 130.1 131.1 132.1 133.1 134.1 135.1 136 137.1 138 139.1 141.1 142.1 143.1 144 145.1 147.1 148.1 149.1 150.1 151.1 152.1 153.1 154.2 155.2 156 157.1 158.1 159.1 160.1 161.1 162.1 163.1 164.1 165.1 166.1 167.2 168.1 169 171 172.1 173.1 174.1 175.1 176.1 177.1 179.2 180.2 181.1 182.1 183.1 184.1 185 185.9 187.1 188.2 189.1 190.1 191.1 192.1 193.1 194.1 195.1 196.1 197.1 198.9 201.1 202.1 203.1 204.1 205.1 206.1 207.1 208.2 209.1 210.1 211.1 212.1 215 216.1 217.1 218.2 219.1 220.1 221.1 222.2 223.2 224.1 225.1 226.1 226.9 229 230.2 231.1 232.1 233.1 234.1 235.1 236.2 237.1 238.1 239.1 240.1 241.1 245.1 246 247.1 248.2 249.2 250.2 251.1 252.2 253.2 254.2 255 259.1 261.1 262.2 263.2 264.2 265.2 266.2 267.2 268.1 269.1 270.2 271.1 275 276.2 277.2 278.2 279.2 280.2 281.2 282.2 283.2 284.2 285.2 289.1 290.2 291.2 292.2 293.2 294.2 295.2 296.2 297.2 298.2 304.1 305.2 307.2 308.2 309.2 310.2 311.2 312.2 313.2 323.2 324.1 325.2 326.2 327.1 337.2 338.1 339.2 340.2 341.2 342.1 343.2 351.2 352.1 353.3 354.2 355.3 356.2 357.3 358.3 359.2 360.3 365.2 366.2 367.2 368.2 369.1 370.2 381.2 382.3 383.3 384.3 385.3 386.2 387.2 388.3 396.3 397.3 398.3 399.3 400.3 401.3 402.2 471.3,862 749 11602 14185 95344 6344 8767 344 274 442 1170 735 1235 350 11340 1075 4623 6722 24744 2581 6120 575 1428 524 3396 2744 1185 1286 1475 3444 4878 23640 1649664 142080 135744 7843 11532 4358 3424 320 1102 4703 3139 615 5037 620 4916 2909 10483 10019 34872 3056 1410 333 2978 692 1370 351 3016 441 7797 16600 28528 14392 19224 2851 4845 709 2576 511 1007 333 1915 509 19384 7014 24264 5665 119000 11134 8317 1400 2479 539 1007 355 857 1415 5519 8151 62480 10967 132992 20328 39736 4907 4917 536 3455 759 3800 3851 1352 15358 1211904 194112 171712 24320 28608 4129 1436 311 352 223 1094 511 5511 2219 30752 8177 108856 34904 18808 8299 1781 438 361 606 223 2645 1376 22192 7749 103368 6060544 1107968 325248 30792 2410 1632 1397 246 1493 859 15649 16696 64856 47488 117256 19672 8884 1272 550 164 946 2311 9900 22240 18240 10420 21880 6422 19056 4025 2007 291 611 1227 8582 3236 128072 25648 16696 3257 32072 6761 4544 928 200 236 181 1585 694 9079 2839 10843 3845 4148 2634 1713 566 280 336 240 3152 1192 65616 16058 36568 8967 5563 1247 350 209 807 553 5562 2261 71344 18176 40952 9203 3630 555 183 237 722 1576 1332 15182 49280 435840 111056 41864 6713 1270 325 630 4542 300672 562688 163584 56984 10412 2179 294 180 587 17320 2297856 619200 251008 42896 7667 945 2275 573 2105 698 362 893 433 7121 2321 4225 1386 567 264 182 2362 3202 323904 104344 49416 10482 2536 423 470 224 2694 1031 783 193 3236 1504 153536 51400 24888 5530 1212 252 421 501 52968 17968 8537 2006 378 210 ,0.02428,5.84336,0.9764,0.9705
83,Organic Acid,,Indolelactic acid ,,,,32.427,2199.99,41.1 42 43.1 44.1 45.1 46 47 53 55.1 56 57.1 58 59 61 62.9 65.9 66.9 69.1 70 71.1 72.2 73.1 74.1 75.1 76.1 77.1 78 79 80.9 83.1 84 85.1 87 89.1 91 92.9 93.9 94.9 95.9 97 99.1 101.1 102 103 104.1 105 106.9 109.1 111.1 113 114 115.1 116 117 118 119.1 125.1 127.1 128.2 129.1 130.1 131.1 132 133.1 134 135 140.1 141.1 142.1 143 144 145.1 146.1 147.1 148.1 149.1 149.9 153.1 154 155.1 155.9 157.1 158 159.1 160 161 165 167.1 168 169.1 170.1 171.1 172 173.1 174.1 175 176.1 177.1 178 181.9 183.2 184 185.1 186.1 187.1 188.1 189.1 190 191.1 192.1 193 196.1 198.1 199.1 200.1 201.2 202.1 203.1 204.1 205.1 206 207 208.1 209 212.2 213.1 214.1 215.1 216.1 217.1 218.1 219.1 221.1 222.1 223.1 226 228 229.2 230.1 231 232.1 233.1 240.1 242.1 243.1 244.1 246.1 247.2 248.1 249.1 253.1 256.1 257.2 258 259 260.1 260.9 262.2 267 272.1 274.1 275.1 276.1 277.1 278 281.1 282 286.1 288.1 289.1 290.1 292.2 293.2 294.2 295 296.1 302.2 303.2 304.2 305.2 306.1 307.1 314.2 316.2 317 318.2 330.2 331.2 332.2 333.2 334.2 335.2 349.2 355.1 378.3 379.2 380.1 381.3 406.3 407.2 408.2 409.3 421.3 422.3 423.3 424.2 425.2,427 321 1315 5556 6397 422 740 198 785 361 1237 501 1564 236 168 283 308 681 418 897 1071 96512 8274 9106 731 1023 330 230 232 378 357 716 262 164 296 360 170 287 220 241 372 277 702 884 225 491 181 229 386 349 157 1589 452 1162 166 599 155 289 407 972 5241 2080 609 2446 602 556 213 382 1225 742 633 1738 665 20056 3027 1853 253 185 303 317 910 318 493 437 693 339 179 157 183 401 1427 374 1350 394 901 256 270 528 215 449 229 1221 534 2865 807 870 649 184 498 171 301 159 808 668 11645 4439 465856 85120 24152 2949 304 1950 367 327 287 310 1331 1900 2794 886 294 437 1593 525 317 167 619 320 639 507 943 353 297 1222 541 306 616 194 224 353 173 332 205 265 420 302 176 175 265 242 524 173 191 897 224 567 206 320 468 212 500 8429 2188 1330 363 185 700 1799 6564 1793 683 171 269 1350 343 353 527 4273 1513 952 290 165 308 219 5745 1820 822 203 5748 2380 944 256 23080 8288 3580 925 195 ,-0.00278,0.26418,0.996,0.994
10,Serum,HMDB00172,Isoleucine,ISO,L-Isoleucine (2TMS),275,20.793,1286,41.1 43.1 44.1 45.1 47 57.1 58.1 59.1 69 73.1 74.1 75 77 80.5 80.8 82.1 83.1 84 85.1 85.95 86.95 87.85 89.05 90.05 91.15 92.15 94.05 95.05 96.15 97.05 98.05 99.15 100.05 101.05 102.05 103.05 104.15 104.95 112.05 113.25 114.05 115.05 116.15 116.95 117.95 119.05 125.95 128.05 129.15 130.05 131.1 132.1 133.1 134 142.1 143.1 144.1 146.1 147.1 148 149.1 155.9 158.1 159.1 160.1 161.1 170.1 174 203.15 206.95 218.05 219.05 220.05 232.2 233.2 234.1 260.1,8515 7177 6038 20296 3118 5625 4733 7113 3084 71248 6710 9162 2099 283 262 405 430 874 751 1562 461 405 303 248 321 158 270 270 495 635 708 621 6472 1249 1502 1731 163 437 263 287 1277 532 615 934 182 404 188 1802 768 817 848 1457 1724 273 870 615 320 340 7692 1045 907 309 55016 7960 2327 433 568 226 781 234 8992 1962 650 2575 524 242 261,-0.073,0.0016,,
79,Organic Acid,,Kynurenic acid,,,,30.682,2084.15,41.2 42.1 43.1 44.1 45.1 46.1 47 47.9 49 50.1 51 52 53 54 55 56.1 57.1 58.1 59.1 60.1 61 62 63 64 65 66 67 68.1 69 70.1 71 72.1 73.1 74.1 75.1 76 77.1 78.1 79 80 81 82 83.1 84.1 85 86.1 87.1 88.1 89.1 90 91.1 92.3 92.9 93.8 94.9 96 97 98 99.1 100.5 103 104.1 105.1 106.4 107.4 107.8 108.3 108.8 109.5 111 112 113.2 115.1 116.1 117.1 118 119 120.1 121.6 125 126 127.1 128.1 129.3 129.9 131 132.1 133.1 134.1 135 136.6 137.2 139.2 140.1 141.1 142.1 143.6 145 146 147.1 148.1 149.1 150.6 151.6 154.1 155 156.1 157.1 158.1 159.1 160.1 161 162.1 163 164.1 165 166 167 168.1 169 170.1 171.1 172.1 173.1 174 175 176 177 178.2 179 179.9 181.1 182.1 183 184.1 185.1 186.1 187.1 188.1 189 190.1 191.1 191.9 193 194.1 195.2 196.1 197.1 198.1 199.1 200.1 201.1 202.1 203.1 204.1 205.1 206 207 208.2 209 210 211.2 212.1 213.2 214.1 215.1 216.1 217.1 218.1 219.1 220 221 224 226 227.1 228.1 229.1 230.1 231.2 232.2 233.1 234.1 235 240 241.3 242.1 243.1 244.1 245.1 246.1 247.1 248.1 249.1 251.1 253.1 254.1 255 256.1 257.1 258.1 259.1 260.1 261.2 262.1 268.1 270.1 271.2 272.1 273.1 274.1 275.2 276.2 277.2 278.1 281.1 284.1 285.1 286.2 287.2 288.2 289.2 290.2 291.2 292.2 293.2 294 300.1 301.1 302.1 303.1 304.2 305.2 306.2 307.2 308.2 309.2 313.3 314.2 315.1 316.2 317.2 318.2 319.2 320.2 321.2 322.2 323.1 330.2 331.2 332.2 333.2 334.2 335.2 336.2 337.1,528 542 7024 9280 45664 3105 3987 164 253 721 928 698 987 569 1669 705 2329 2418 6016 820 1657 645 1393 637 632 558 1060 444 1022 2045 1690 4859 300416 27120 35968 4272 5832 900 794 275 1085 593 1769 2024 1627 2485 1266 3003 5068 991 2766 1268 2068 1086 1114 780 769 688 2773 6164 3451 1075 4047 1416 1341 1303 1416 1093 4106 741 331 2194 17984 5512 4115 1275 2919 991 51384 322 949 7873 5342 5461 6983 7235 3129 9283 1888 1642 4887 1821 461 8550 5065 8061 51928 9679 3526 23208 4268 2831 1438 49656 2049 1206 5647 3589 10555 5795 4645 1520 904 536 215 336 256 512 885 1429 9328 2904 6918 3701 1682 939 725 540 266 694 416 340 1174 1065 8782 4304 23560 4843 4809 926 855 522 192 919 413 288 783 497 3358 2189 25656 6723 19344 3710 2349 565 326 882 338 213 408 195 1979 1972 55184 16286 71472 22416 12446 2384 761 401 241 257 447 2367 5080 11339 586304 120344 32200 4026 411 266 403 2908 2588 12170 9713 18136 4000 1749 342 164 235 421 309 1847 746 8455 2380 3754 1170 461 206 998 529 9296 3145 28976 7739 3291 574 170 232 828 516 6678 4477 154752 106976 95576 26880 8666 1256 268 458 222 20512 6450 313088 97824 35552 6726 1323 292 232 272 434 12451 4882 762496 209408 81712 13989 2788 276 685 305 42520 81440 24400 8446 1790 391 ,-0.03629,1.01683,0.9203,0.8804
4,Serum,HMDB00190,L-Lactic acid,LAC,Bis(trimethylsilyl)lactate,234,14.831,1060,43 44.1 45.1 47 55.1 58 59.1 66.1 73.1 74.1 75 80.1 83 84.1 85 85.95 87.05 88.15 88.95 90.95 93.05 94.05 97.15 98.95 101.05 102.05 103.05 104.05 104.95 113.05 115.05 117.05 118.05 119.05 120.05 127.05 128.95 131.1 133.1 134 135 147.1 148.1 149 150 151.1 174.9 190.15 191.05 192.05 193.15 203.05 207.05 219.05 220.05 221.05,26936 11688 48752 9518 6950 8828 14352 14054 133504 12771 19272 228 353 287 538 462 3333 4839 1490 350 184 466 245 256 2688 3236 1884 373 826 222 1343 59920 6046 2599 231 160 718 3069 5859 941 571 58560 9483 5244 692 165 249 6612 9923 2297 818 302 668 1881 416 234,-0.0437,0.0004,,
111,Saliva,NA,L-Ornithine,NA,L-Ornithine,NA,,1801,43 44 45 59 73 74 75 82 83.1 83.9 85 86 87 87.95 89.05 90.05 96.05 97.05 98.05 99.05 100.05 101.05 102.05 102.95 103.95 104.95 109.95 111.05 111.95 112.95 114.05 114.95 115.95 116.95 117.95 118.95 123.95 124.95 126.05 126.95 127.95 128.95 129.95 130.95 131.95 132.95 133.95 134.9 139 140 142.1 143.1 144.1 145 146.1 147 148 149 150 152 153 154 155 156 157.1 158 158.9 160 161 162 168 169 170 171 172 174 175 176 177 178 184.15 186.05 187.05 188.05 189.05 190.05 190.95 197.95 199.05 200.05 201.05 202.05 203.05 204.05 204.95 206.05 212.95 214.05 215.05 215.95 217.05 218.05 219.05 220.05 221.05 229.1 230.1 231.2 232.1 241.2 242 243.1 244.1 245 258.1 259.1 260.1 261.2 287.05 289.05 303.25 304.15 315.15 316.15 317.15 330.1 331.2 332.2 405.15 420.2 421.2 422.2,21784 18088 104872 64728 598208 60352 40792 1112 1335 3260 4970 47488 6570 3066 851 1882 1559 1504 7841 6113 54720 10375 24816 9675 2168 822 3895 700 6365 5018 16608 11834 8612 9446 2418 1829 1336 974 6452 4572 18072 6509 26536 13086 13114 14516 2937 998 603 3355 307136 42224 16132 2379 13818 44856 8502 3541 563 1361 1414 2119 945 1859 830 3118 1917 4818 1835 909 812 4261 1915 1048 19376 140416 25632 16106 2038 585 614 4299 2061 3591 5669 1848 2502 1109 1095 16872 3864 4039 5486 4669 1112 684 831 11912 3923 13218 3566 6074 1475 2391 970 506 1233 623 711 1004 1103 752 1035 542 6962 4975 1548 563 1178 546 2786 961 1623 822 677 2613 1172 506 1132 6534 2649 1651 ,,,,
100,Saliva,NA,L-Threonine,NA,L-Threonine,NA,,1371,43 44 45 47 57 58 59 73 74 75 82.9 83.9 85 86 87 88.05 88.95 96.05 97.95 98.95 100.05 101.05 102.05 102.95 104.05 105.05 112.05 113.05 113.95 114.95 115.95 116.95 117.95 118.95 119.75 128.05 128.95 129.95 130.95 131.95 132.95 133.95 134.9 144.1 144.8 147 148 149 158 159 160 161 171.9 174 176 176.9 186.05 188.05 189.05 189.95 190.95 202.05 203.05 203.95 204.95 218.05 219.05 219.95 220.95 230 232 248 291.05 292.15 293.05 294.05 320.05 321.05,23280 15249 73952 10295 29240 10175 24336 280320 24840 33296 1022 2688 2081 5171 3830 913 1035 672 2100 1252 24352 42376 8273 4859 982 938 1088 693 8331 5496 2210 42088 6005 4186 506 7308 6807 6648 7576 11459 12959 2490 1037 1572 632 28832 4795 3762 1894 2592 3637 889 1015 2637 992 2312 2131 1220 713 669 1133 4918 8654 2628 667 33424 26552 5902 2700 756 988 674 16688 12328 4054 1335 2700 681 ,,,,
